"","name","taxonKey","familyKey","genusKey","acceptedScientificName","order","family","genus","decimalLongitude","decimalLatitude","elevation"
"1","Achnatherum splendens",2703407,3073,2704463,"Stipa splendens Trin.","Poales","Poaceae","Stipa",-104.961468,39.732207,1643
"2","Achnatherum splendens",2703407,3073,2704463,"Stipa splendens Trin.","Poales","Poaceae","Stipa",-104.961468,39.732207,1643
"3","Achnatherum splendens",2703407,3073,2704463,"Stipa splendens Trin.","Poales","Poaceae","Stipa",88.668633,50.010783,NA
"4","Achnatherum splendens",2703407,3073,2704463,"Stipa splendens Trin.","Poales","Poaceae","Stipa",89.985867,48.5962,NA
"5","Achnatherum splendens",2703407,3073,2704463,"Stipa splendens Trin.","Poales","Poaceae","Stipa",111.17,41.35,NA
"6","Achnatherum bromoides",4142335,3073,2703376,"Achnatherum bromoides (L.) P.Beauv.","Poales","Poaceae","Achnatherum",33.728165,44.420982,NA
"7","Achnatherum bromoides",4142335,3073,2703376,"Achnatherum bromoides (L.) P.Beauv.","Poales","Poaceae","Achnatherum",33.728305,44.421,NA
"8","Achnatherum bromoides",4142335,3073,2703376,"Achnatherum bromoides (L.) P.Beauv.","Poales","Poaceae","Achnatherum",34.144211,44.467008,NA
"9","Achnatherum bromoides",4142335,3073,2703376,"Achnatherum bromoides (L.) P.Beauv.","Poales","Poaceae","Achnatherum",34.2492,44.513059,NA
"10","Achnatherum bromoides",4142335,3073,2703376,"Achnatherum bromoides (L.) P.Beauv.","Poales","Poaceae","Achnatherum",33.763113,44.520723,NA
"11","Achnatherum brandisii",4142353,3073,2703376,"Achnatherum brandisii (Mez) Z.L.Wu","Poales","Poaceae","Achnatherum",104.467,37.0416,2466.5
"12","Achnatherum brandisii",4142353,3073,2703376,"Achnatherum brandisii (Mez) Z.L.Wu","Poales","Poaceae","Achnatherum",104.467,37.0416,2466.5
"13","Achnatherum brandisii",4142353,3073,2703376,"Achnatherum brandisii (Mez) Z.L.Wu","Poales","Poaceae","Achnatherum",104.4668,37.0383,2466.5
"14","Achnatherum brandisii",4142353,3073,2703376,"Achnatherum brandisii (Mez) Z.L.Wu","Poales","Poaceae","Achnatherum",104.4668,37.0383,2466.5
"15","Achnatherum brandisii",4142353,3073,2703376,"Achnatherum brandisii (Mez) Z.L.Wu","Poales","Poaceae","Achnatherum",104.466945,37.041667,2466.5
"16","Achnatherum diegoense",2703425,3073,2704463,"Stipa diegoensis Swallen","Poales","Poaceae","Stipa",-119.45827,33.25039,55
"17","Achnatherum diegoense",2703425,3073,2704463,"Stipa diegoensis Swallen","Poales","Poaceae","Stipa",-119.44851,33.24015,43
"18","Achnatherum diegoense",2703425,3073,2704463,"Stipa diegoensis Swallen","Poales","Poaceae","Stipa",-119.46464,33.21743,18
"19","Achnatherum diegoense",2703425,3073,2704463,"Stipa diegoensis Swallen","Poales","Poaceae","Stipa",-119.46662,33.21941,24
"20","Achnatherum diegoense",2703425,3073,2704463,"Stipa diegoensis Swallen","Poales","Poaceae","Stipa",-119.49599,33.25777,90
"21","Achnatherum psilantherum",4141416,3073,2703376,"Achnatherum psilantherum Keng ex Tzvelev","Poales","Poaceae","Achnatherum",97.3481,32.9911,NA
"22","Achnatherum psilantherum",4141416,3073,2703376,"Achnatherum psilantherum Keng ex Tzvelev","Poales","Poaceae","Achnatherum",NA,NA,NA
"23","Achnatherum psilantherum",4141416,3073,2703376,"Achnatherum psilantherum Keng ex Tzvelev","Poales","Poaceae","Achnatherum",97.348056,32.991111,NA
"24","Achnatherum psilantherum",4141416,3073,2703376,"Achnatherum psilantherum Keng ex Tzvelev","Poales","Poaceae","Achnatherum",96.46,32.3097,NA
"25","Achnatherum psilantherum",4141416,3073,2703376,"Achnatherum psilantherum Keng ex Tzvelev","Poales","Poaceae","Achnatherum",NA,NA,NA
"26","Achnatherum chinense",4142241,3073,2702697,"Oryzopsis chinensis Hitchc.","Poales","Poaceae","Oryzopsis",NA,NA,NA
"27","Achnatherum chinense",4142241,3073,2702697,"Oryzopsis chinensis Hitchc.","Poales","Poaceae","Oryzopsis",NA,NA,NA
"28","Achnatherum chinense",4142241,3073,2702697,"Oryzopsis chinensis Hitchc.","Poales","Poaceae","Oryzopsis",NA,NA,NA
"29","Achnatherum chinense",4142241,3073,2702697,"Oryzopsis chinensis Hitchc.","Poales","Poaceae","Oryzopsis",NA,NA,NA
"30","Achnatherum inebrians",4141881,3073,2703376,"Achnatherum inebrians (Hance) Keng","Poales","Poaceae","Achnatherum",102.021111,35.517778,2550
"31","Achnatherum inebrians",4141881,3073,2703376,"Achnatherum inebrians (Hance) Keng","Poales","Poaceae","Achnatherum",103.5,36.58,2460
"32","Achnatherum inebrians",4141881,3073,2703376,"Achnatherum inebrians (Hance) Keng","Poales","Poaceae","Achnatherum",103.92,35,3050
"33","Achnatherum inebrians",4141881,3073,2703376,"Achnatherum inebrians (Hance) Keng","Poales","Poaceae","Achnatherum",101.08,36.33,3330
"34","Achnatherum inebrians",4141881,3073,2703376,"Achnatherum inebrians (Hance) Keng","Poales","Poaceae","Achnatherum",96.67,29.92,3720
"35","Achnatherum nevadense",2703412,3073,2704463,"Stipa nevadensis B.L.Johnson","Poales","Poaceae","Stipa",-116.54372,39.81569,2362
"36","Achnatherum nevadense",2703412,3073,2704463,"Stipa nevadensis B.L.Johnson","Poales","Poaceae","Stipa",-116.518583,39.8161829990719,2362
"37","Achnatherum nevadense",2703412,3073,2704463,"Stipa nevadensis B.L.Johnson","Poales","Poaceae","Stipa",-116.543717,39.8156999990719,2362
"38","Achnatherum nevadense",2703412,3073,2704463,"Stipa nevadensis B.L.Johnson","Poales","Poaceae","Stipa",-119.64856,38.7983899990785,1753
"39","Achnatherum nevadense",2703412,3073,2704463,"Stipa nevadensis B.L.Johnson","Poales","Poaceae","Stipa",-119.648567,38.7983829990785,1753
"40","Achnatherum nelsonii",2703432,3073,2704463,"Stipa nelsonii Scribn.","Poales","Poaceae","Stipa",-104.96493,39.21865,2025
"41","Achnatherum nelsonii",2703432,3073,2704463,"Stipa nelsonii Scribn.","Poales","Poaceae","Stipa",-104.96354,39.20707,2045.5
"42","Achnatherum nelsonii",2703432,3073,2704463,"Stipa nelsonii Scribn.","Poales","Poaceae","Stipa",-104.94222,39.21348,2067.5
